,name,latitude,longitude,values,date
0,Abraham Lincoln Birthplace NHP,37.53116708075535,-85.73749279514995,0.0,20160811
1,Acadia NP,44.37087724,-68.26382357,0.0,20160924
2,Adams NHP,42.25654473,-71.01182318,0.0,20150612
3,African Burial Ground NM,40.71513334051866,-74.0045030424539,0.0,0
4,Agate Fossil Beds NM,42.4254659,-103.734226,0.0,20181010
5,Alagnak Wild River,59.01456500425202,-156.1182597702813,0.0,20171222
6,Alibates Flint Quarries NM,35.582621729309594,-101.67338698623377,0.0,20171222
7,Allegheny Portage Railroad NHS,40.460045088781776,-78.54960807687625,0.0,20160619
8,Amache NHS,38.05658480471467,-102.32927880606826,0.0,0
9,Amistad NRA,29.46726464739574,-100.9883945504542,0.0,20171217
10,Anacostia Park,38.86827946871436,-76.99534993111291,0.0,20151229
11,Andersonville NHS,32.20146796789183,-84.13030582800279,0.0,20160131
12,Andrew Johnson NHS,36.16323500655847,-82.82948949948852,0.0,20160806
13,Aniakchak NM,56.87131058339476,-157.81457868950744,0.0,0
14,Antietam NB,39.46766937903727,-77.736385728196,0.0,20160530
15,Apostle Islands NL,46.934026798394434,-90.6336231821812,0.0,0
16,Appalachian NST,38.91819588707799,-78.04962008604608,0.0,20160530
17,Appomattox Court House NHP,37.38065164573938,-78.79833524421805,0.0,20150808
18,Arches NP,38.90123647498111,-109.59951465362391,0.0,20150526
19,Arkansas Post NMem,34.01556620523531,-91.34445929380512,0.0,20171130
20,Arlington House,38.88251708851578,-77.07278846059576,0.0,20151228
21,Assateague Island NS,38.077546119762125,-75.23576133389881,0.0,20160325
22,Aztec Ruins NM,36.836279297013725,-107.99953585471268,0.0,0
23,Badlands NP,43.9633978652416,-102.35460391660422,0.0,20181120
24,Bandelier NM,35.77932963,-106.2709601,0.0,20181017
25,Belmont-Paul Women's Equality NM,38.89395001562354,-77.00390169606317,0.0,20160716
26,Bent's Old Fort NHS,38.04093395999114,-103.42962284017536,0.0,0
27,Benjamin Franklin NMem,39.95925148573474,-75.17247663643673,0.0,20160716
28,Bering Land Bridge NPres,65.92605952779475,-164.4379373085557,0.0,0
29,Big Bend NP,29.25153819248617,-103.25001827837691,0.0,20171217
30,Big Cypress NPres,26.049706854121258,-81.07578553564811,0.0,20191222
31,Big Hole NB,45.64207525059023,-113.64334300273688,0.0,0
32,Big South Fork NRRA,36.53594827877208,-84.66549172434745,0.0,20160928
33,Big Thicket NPres,36.57084237,-80.90804411,0.0,20171206
34,Bighorn Canyon NRA,45.05400361760166,-108.2468116180786,0.0,0
35,Biscayne NP,25.61069155388161,-80.19687771558291,0.0,20191222
36,Black Canyon of the Gunnison NP,38.62146529286767,-107.7430049188367,0.0,0
37,Blackstone River Valley NHP,41.87886558615023,-71.38317257880699,0.0,20160928
38,Blackwell School NHS,30.306812659359917,-104.0222380302915,0.0,0
39,Blue Ridge Parkway,36.56970543695063,-80.9078661772477,0.0,20150802
40,Bluestone NSR,37.4515631844162,-81.17338657323535,0.0,20150906
41,Booker T Washington NM,37.12083817840605,-79.73187115273858,0.0,20150808
42,Boston African American NHS,42.36094758087968,-71.06507208918194,0.0,20150608
43,Boston Harbor Islands NRA,42.31283086439302,-70.94930017483412,0.0,20150613
44,Boston NHP,42.37340611627443,-71.05651151217522,0.0,20150610
45,Brices Gross Roads NBS,34.5066804821213,-88.72893149352625,0.0,20171124
46,Brown v. Board of Education NHP,39.03942159628702,-95.67632942616932,0.0,0
47,Bryce Canyon NP,37.78267989073462,-112.2243072660506,0.0,0
48,Buck Island Reef NM,17.786628479419395,-64.62188475568158,0.0,0
49,Buffalo NR,35.983222761297185,-92.7548347229774,0.0,20171128
50,Cabrillo NM,32.67293733950517,-117.24175140979192,0.0,0
51,California NHT,42.0770040410748,-121.66337399824522,0.0,20150525
52,Camp Nelson NM,37.79752247563955,-84.60079625267547,0.0,0
53,Canaveral NS,28.79683473825889,-80.76006416946832,0.0,20191222
54,Cane River Creole NHP,31.66571383865032,-93.0049360602622,0.0,20171205
55,Canyon De Chelly NM,36.12014175510601,-109.3195505988222,0.0,0
56,Canyonlands NP,38.39710932742917,-109.9720074738202,0.0,20150527
57,Cape Cod NS,41.72727705275205,-69.93024768439696,0.0,20160926
58,Cape Hatteras NS,35.79712839076782,-75.54649250109124,0.0,20151025
59,Cape Krusenstern NM,67.4183859376136,-163.50522929245065,0.0,0
60,Cape Lookout NS,34.64303868971449,-76.52659683778988,0.0,20150601
61,Capitol Reef NP,38.13376410922067,-111.15776496672925,0.0,0
62,Captain John Smith Chesapeake NHT,37.21256772288552,-76.77824888619585,0.0,20151010
63,Capulin Volcano NM,36.802541963242966,-103.97549428620432,0.0,20181016
64,Carl Sandburg Home NHS,35.273994183420335,-82.44513734213795,0.0,20150823
65,Carlsbad Caverns NP,32.17622068890717,-104.55331389560854,0.0,20171221
66,Carter G. Woodson NHS,38.91125417834611,-77.02423756614559,0.0,20151226
67,Casa Grande Ruins NM,32.99909245464712,-111.53241774574644,0.0,0
68,Castillo de San Marcos NM,29.90102236565814,-81.31226736592903,0.0,20190526
69,Castle Clinton NM,40.70415413355017,-74.01667429257022,0.0,20180722
70,Castle Mountains NM,35.3022484228907,-115.12676169366785,0.0,20160511
71,Catoctin Mountain Park,39.64059008388623,-77.4413362189572,0.0,20160528
72,Cedar Breaks NM,37.6368926629955,-112.8452291051868,0.0,0
73,Cedar Creek and Belle Grove NHP,39.01151567945355,-78.30409231361752,0.0,20160530
74,Cesar E. Chavez NM,35.224151503784924,-118.55829943529316,0.0,0
75,Chaco Culture NHP,36.0536404304614,-107.95587380525312,0.0,0
76,Chamizal NMem,31.767643255403783,-106.45448235159544,0.0,0
77,Champlain Valley NHA,43.41938510225973,-73.71071675286218,0.0,20160921
78,Channel Islands NP,34.25876841189417,-119.79771947712774,0.0,20160508
79,Charles Pinckney NHS,32.84645072770478,-79.8247283657227,0.0,20160501
80,Charles Young Buffalo Soldiers NM,39.70825466825573,-83.89063834032443,0.0,20181006
81,Chattahoochee River NRA,33.98809176877906,-84.32412598232797,0.0,20151004
82,Chesapeake and Ohio Canal NHP,39.50092950506559,-77.84491835375542,0.0,0
83,Chickamauga and Chattanooga NMP,34.93404256171934,-85.28013433441075,0.0,20151003
84,Chickasaw NRA,34.461846496254104,-97.00702795511089,0.0,20171223
85,Chiricahua NM,32.01290731717124,-109.34167667779104,0.0,0
86,Christiansted NHS,17.7474331310613,-64.7023289181468,0.0,0
87,City of Rocks NPres,42.07306689679784,-113.70381986296807,0.0,0
88,Clara Barton NHS,38.96763237522109,-77.1409490820061,0.0,0
89,Colonial NHP,37.23099860014624,-76.50276750954013,0.0,20160325
90,Colorado NM,39.05092961607754,-108.69219470896256,0.0,0
91,Congaree NP,33.80084711424209,-80.74829159317974,0.0,20160912
92,Constitution Gardens,38.89208094484619,-77.04451718355718,0.0,20151226
93,Coronado NMem,31.348304883610044,-110.25380577260728,0.0,0
94,Cowpens NB,35.13788592322677,-81.81773929972636,0.0,20150718
