,name,designation,latitude,longitude,values,date
1,Neuschwanstein Castle,DE,47.558114518279545,10.749660763988654,0.0,0
3,Colosseum,IT,41.89030054537417,12.492218147068732,0.0,0
5,Black Mountains,UK,51.98590846687665,-3.116209807150236,0.0,0
2,Big Ben,UK,51.500753325692976,-0.12462344392579162,0.0,0
6,York,UK,53.96394853710624,-1.0741559464960897,0.0,0
7,Edinburgh Castle,UK,55.949567553935964,-3.200315782639057,0.0,0
8,Edinburgh,UK,55.95412029914029,-3.188019358731298,0.0,0
9,Scottish Highlands,UK,57.14074614326166,-4.714037874144971,0.0,0
10,Glenfinnan Viaduct,UK,56.93406776709152,-5.440325851339116,0.0,0
11,Isle of Skye,UK,57.28267059913452,-6.215779671864954,0.0,0
12,Giants Causeway,UK,55.2324645637754,-6.529203377880324,0.0,0
13,Gap of Dunloe,IR,52.03907920198529,-9.639080187799358,0.0,0
14,Ring of Kerry,IR,51.838988549278085,-9.90087534641789,0.0,0
15,Great Skellig,IR,51.77113281236976,-10.54062819111398,0.0,0
16,Cliffs of Moher,IR,52.97579310627973,-9.43129712034652,0.0,0
17,Galway,IR,53.27634830975603,-9.05065795565884,0.0,0
18,Dublin,IR,53.35084723619858,-6.260183989858873,0.0,0
19,Snowdonia National Park,UK,52.926046646671274,-3.900263597917815,0.0,0
20,Bath,UK,51.384374787303464,-2.361677459958055,0.0,0
21,Stonhenge,UK,51.18237454067958,-1.8257974992974912,0.0,0
22,Oxford,UK,51.75460639545544,-1.2583181378667714,0.0,0
23,London,UK,51.50915695250312,-0.12827842095600564,0.0,0
24,Tower Bridge,UK,51.50744554495828,-0.07580526371202669,0.0,0
25,Tartu,EE,58.377949505195865,26.728991356594804,0.0,0
26,Otepää,EE,58.060245121207714,26.496911083534105,0.0,0
27,Pärnu,EE,58.39152580539562,24.4953532073229,0.0,0
28,Saaremaa,EE,58.48369794178673,22.61210324085122,0.0,0
29,Muhu,EE,58.579348340718745,23.2668617758683,0.0,0
30,Tallinn,EE,59.436892357590445,24.753507139265047,0.0,0
31,Lahemaa,EE,59.56772203777213,25.781032271455846,0.0,0
0,Eiffel Tower,FR,48.85876757904741,2.2943722245643374,0.0,0
32,French Riviera,FR,43.254523532974055,6.637962746246861,0.0,0
33,Verdon Gorge,FR,43.76141528044222,6.379052210087499,0.0,0
34,Lavender Fields,FR,43.894757375743886,6.128911849028178,0.0,0
35,Provence Region,FR,44.014432006179746,6.211566255412799,0.0,0
36,Chamonix,FR,45.92299668665446,6.868193747509379,0.0,0
37,Doleran,FR,47.80130225987047,6.931744673000732,0.0,0
38,Collegiale Saint-Martin de Colmar,FR,48.077254510636266,7.356809654651707
39,Loire Valley,FR,47.548276186357214,1.0044543589937203
40,Le Mont-Saint-Michel,FR,48.63603045890697,-1.5114867140794657
41,Falaise d'Aval,FR,49.70717914942412,0.19369396365285227
42,Disneyland Paris,FR,48.86735615157556,2.783680106048435
43,Palace of Versailles,FR,48.80486239208413,2.1203589721117773
44,Jardin du Luxembourg,FR,48.84658929443782,2.3362768370243865
45,Paris,FR,48.857538624166146,2.3513719657629033
46,Louvre Museum,FR,48.86060187731026,2.337637680804226
47,Eiffel Tower,FR,48.858355948816154,2.2944578393382296
48,Arc de Triomphe,FR,48.873784577971506,2.295026491701024
49,Andorra la Vella,AD,42.50629194176259,1.5218614590124293
50,Escaldes-Engordany,AD,42.51005346548701,1.5387789534608556
51,Pal Arinsal,AD,42.51005346548701,1.5387789534608556
52,Vaduz,LI,47.141069050428705,9.521050158476234
53,Fürstensteig,LI,47.13332454126902,9.549994480546074
54,Malbun,LI,47.10147865557068,9.609576748551628
55,Luxembourg,LU,49.61226323378828,6.125777138505879
56,Echternach,LU,49.81136927245553,6.417608417031042
57,Berdorf,LU,49.8214254284632,6.349259660506955
4,Sagrada Familia,ES,41.40387917411355,2.1743180519513543,0.0,0
58,Majorca,ES,39.69428292109442,3.017374514357729
59,Barcelona,ES,41.387363582666424,2.168601208246343
60,Casa Batlo,ES,41.39169620094585,2.1649000505782996
61,Rioja,ES,36.94499108326866,-2.4631309057288564
62,Sierra Nevada,ES,37.09094190080694,-3.396710413377455
63,Granada,ES,37.18237675232175,-3.6012339492947736
64,Puente Nuevo,ES,36.740833466871045,-5.16597737382042
65,Sevilla,ES,37.38899252781246,-5.984513327251001
66,Cordoba,ES,37.88932710400049,-4.779260336460752
67,Tavira,PT,37.133602625394246,-7.643041310522383
68,Faro,PT,37.255515206022544,-8.396499700300977
69,Sagres,PT,37.016836179763544,-8.940600632830408
70,Lisboa,PT,38.72225412943442,-9.139351925598348
71,Cabo da Roca,PT,38.780391987352004,-9.499118177039097
72,Sintra,PT,38.80286469570342,-9.381663998199786
73,Praia da Costa Nova,PT,40.61741764343146,-8.753407842472546
74,Porto,PT,41.157936455581854,-8.629108878463416
75,Madiera,PT,32.759642488394356,-16.963529265422007
76,Azores,PT,37.74108073866519,-25.675461545343953
77,Lagoa do Fogo,PT,37.76198640127828,-25.474147840633798
78,Playa de los Guios,ES,28.24728159594662,-16.84070588087186
79,Monte-Carlo,MC,43.74007685560946,7.426608862162211
